epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,370.076,2.19678,4.32064,1.24432,0.22531,0.08378,0.0586,0.03282,2.17649,3.71146,1.08305,0.000194559,0.000194559,0.000194559
2,691.877,2.23082,3.52263,1.12402,0.64123,0.09739,0.08118,0.04423,2.18645,2.90443,1.08617,0.000387981,0.000387981,0.000387981
3,891.557,2.22061,2.9508,1.11843,0.71723,0.11477,0.0987,0.05345,2.07727,2.37721,1.07279,0.000578816,0.000578816,0.000578816
4,1201.89,2.16053,2.51675,1.10336,0.56953,0.15512,0.11892,0.06639,2.04362,2.12579,1.07585,0.000576358,0.000576358,0.000576358
5,1419.81,2.11827,2.3416,1.09429,0.38657,0.1768,0.12677,0.07275,1.9526,1.99135,1.06176,0.000572477,0.000572477,0.000572477
6,1631.62,2.06384,2.14724,1.0749,0.38412,0.20879,0.14994,0.08972,1.92793,1.96234,1.05181,0.000568596,0.000568596,0.000568596
7,1856.52,2.05423,2.07869,1.07814,0.21331,0.21921,0.14819,0.08692,1.95211,1.93479,1.05285,0.000564715,0.000564715,0.000564715
8,2055.59,2.02345,2.03043,1.06328,0.31169,0.25154,0.18128,0.10339,2.0168,1.8717,1.05446,0.000560834,0.000560834,0.000560834
9,2274.17,1.99858,1.91867,1.05103,0.36686,0.26131,0.21625,0.13236,1.88501,1.79526,1.0393,0.000556954,0.000556954,0.000556954
10,2580.37,1.98985,1.89115,1.05956,0.53831,0.30166,0.24024,0.15351,1.82441,1.75633,1.03163,0.000553073,0.000553073,0.000553073
11,2854.31,1.93794,1.85528,1.05378,0.61516,0.27941,0.26164,0.16832,1.81921,1.68811,1.02342,0.000549192,0.000549192,0.000549192
12,3058.03,1.91886,1.82649,1.04923,0.61604,0.31391,0.28611,0.18053,1.79957,1.64759,1.02223,0.000545311,0.000545311,0.000545311
13,3300.68,1.90998,1.7734,1.04389,0.53338,0.29643,0.29186,0.18006,2.00191,1.72299,1.04683,0.00054143,0.00054143,0.00054143
14,3506.48,1.88783,1.74161,1.03777,0.55498,0.31385,0.30239,0.18988,1.82034,1.6299,1.03322,0.00053755,0.00053755,0.00053755
15,3727.01,1.88612,1.73362,1.03329,0.64099,0.31425,0.3166,0.19975,1.81554,1.61175,1.02758,0.000533669,0.000533669,0.000533669
16,4008.61,1.87872,1.70035,1.02835,0.58938,0.33637,0.33792,0.22158,1.74139,1.5413,1.01001,0.000529788,0.000529788,0.000529788
17,4355.18,1.84861,1.65927,1.03007,0.52291,0.35398,0.33829,0.22266,1.77088,1.52904,1.01228,0.000525907,0.000525907,0.000525907
18,4550.81,1.86839,1.64349,1.02985,0.5748,0.34993,0.3427,0.21546,1.77226,1.5378,1.01163,0.000522026,0.000522026,0.000522026
19,4750.6,1.86377,1.61643,1.02183,0.45991,0.35583,0.35502,0.23126,1.73565,1.52211,1.00173,0.000518146,0.000518146,0.000518146
20,5004.42,1.82285,1.59359,1.02168,0.43837,0.35708,0.34575,0.21978,1.81778,1.53412,1.01704,0.000514265,0.000514265,0.000514265
21,5191.85,1.82308,1.59329,1.01692,0.52167,0.36589,0.3858,0.26076,1.71073,1.45552,0.99793,0.000510384,0.000510384,0.000510384
22,5429.89,1.80924,1.54534,1.01571,0.58883,0.37247,0.40124,0.27317,1.72454,1.44588,1.0024,0.000506503,0.000506503,0.000506503
23,5643.8,1.78853,1.5193,1.01377,0.38576,0.40944,0.39224,0.27012,1.69201,1.41531,0.99363,0.000502622,0.000502622,0.000502622
24,5860.63,1.82787,1.52881,1.01141,0.6548,0.38949,0.40709,0.26245,1.85913,1.47769,1.02707,0.000498742,0.000498742,0.000498742
25,6191.53,1.79104,1.49662,1.00494,0.64718,0.3993,0.42661,0.28804,1.6864,1.40804,0.99178,0.000494861,0.000494861,0.000494861
26,6434.68,1.77789,1.47917,1.0036,0.63766,0.38498,0.42319,0.28498,1.68549,1.41464,0.98746,0.00049098,0.00049098,0.00049098
27,6673.42,1.78063,1.47498,1.00496,0.45485,0.41152,0.42681,0.29218,1.69626,1.38721,0.9893,0.000487099,0.000487099,0.000487099
28,7007.92,1.78716,1.46875,1.00657,0.57137,0.40174,0.4318,0.29102,1.70247,1.38076,0.98767,0.000483218,0.000483218,0.000483218
29,7234.79,1.77809,1.4481,0.99717,0.54419,0.42621,0.43112,0.2897,1.67868,1.37806,0.98473,0.000479338,0.000479338,0.000479338
30,7477.33,1.79305,1.44404,1.003,0.67037,0.41215,0.45442,0.30976,1.67296,1.35932,0.98894,0.000475457,0.000475457,0.000475457
31,7739.77,1.76005,1.43513,1.00505,0.49458,0.46121,0.46215,0.30691,1.67134,1.36553,0.98792,0.000471576,0.000471576,0.000471576
32,7954.9,1.73864,1.42456,0.99388,0.52577,0.47273,0.45696,0.30298,1.65268,1.35715,0.98395,0.000467695,0.000467695,0.000467695
33,8212.34,1.71548,1.38774,0.9868,0.6923,0.42194,0.45329,0.30468,1.6556,1.36505,0.98251,0.000463814,0.000463814,0.000463814
34,8432.53,1.73852,1.39368,0.9911,0.49735,0.47942,0.4782,0.32296,1.65059,1.31523,0.98353,0.000459934,0.000459934,0.000459934
35,8622.34,1.74421,1.37736,0.9939,0.54899,0.44143,0.47349,0.32686,1.66104,1.33613,0.98214,0.000456053,0.000456053,0.000456053
36,8906.27,1.75938,1.39457,0.9955,0.6049,0.46104,0.48701,0.33545,1.6499,1.30181,0.98129,0.000452172,0.000452172,0.000452172
37,9244.15,1.70411,1.34397,0.99194,0.52442,0.49387,0.49822,0.34468,1.64364,1.27836,0.98461,0.000448291,0.000448291,0.000448291
38,9509.24,1.67834,1.33326,0.98556,0.57283,0.46476,0.50324,0.34089,1.63345,1.28575,0.9741,0.00044441,0.00044441,0.00044441
39,9736.4,1.70964,1.34153,0.98084,0.62267,0.49149,0.50637,0.35167,1.63234,1.27088,0.97362,0.00044053,0.00044053,0.00044053
40,10016.9,1.68788,1.31834,0.98409,0.62725,0.50714,0.52063,0.36158,1.62846,1.25263,0.97657,0.000436649,0.000436649,0.000436649
41,10219.6,1.67746,1.31233,0.98268,0.59605,0.5142,0.51646,0.35825,1.60285,1.24472,0.97041,0.000432768,0.000432768,0.000432768
42,10433.5,1.67514,1.29174,0.97276,0.60932,0.52329,0.52997,0.36455,1.62414,1.26436,0.97663,0.000428887,0.000428887,0.000428887
43,10734.9,1.70331,1.30412,0.97425,0.58833,0.51302,0.53055,0.36728,1.62737,1.23693,0.97141,0.000425006,0.000425006,0.000425006
44,10987.7,1.70274,1.28245,0.97855,0.60663,0.5042,0.54376,0.37444,1.59265,1.19743,0.9698,0.000421126,0.000421126,0.000421126
45,11168.9,1.69162,1.28268,0.98258,0.62565,0.52116,0.54636,0.38531,1.56926,1.2033,0.96464,0.000417245,0.000417245,0.000417245
46,11491.6,1.6802,1.26046,0.97975,0.63889,0.50374,0.5379,0.36856,1.60244,1.2221,0.96907,0.000413364,0.000413364,0.000413364
47,11750.8,1.69427,1.28425,0.97634,0.63945,0.51801,0.53518,0.37669,1.60212,1.23524,0.96678,0.000409483,0.000409483,0.000409483
48,11983.5,1.63457,1.23552,0.97475,0.64654,0.52882,0.55063,0.38676,1.58872,1.18298,0.96382,0.000405602,0.000405602,0.000405602
49,12209.3,1.65666,1.24362,0.96967,0.59563,0.55347,0.56803,0.39809,1.58451,1.18142,0.96264,0.000401722,0.000401722,0.000401722
50,12424.1,1.67427,1.24607,0.97377,0.68716,0.52845,0.55143,0.3883,1.58883,1.1992,0.96429,0.000397841,0.000397841,0.000397841
51,12726.8,1.66231,1.23509,0.96949,0.64167,0.50679,0.54573,0.37002,1.61474,1.20961,0.96714,0.00039396,0.00039396,0.00039396
52,13022.7,1.67435,1.23235,0.9703,0.69454,0.52086,0.55678,0.39023,1.57539,1.16081,0.95996,0.000390079,0.000390079,0.000390079
53,13228.2,1.65567,1.21491,0.96836,0.65864,0.53389,0.56119,0.39547,1.58102,1.1593,0.96217,0.000386198,0.000386198,0.000386198
54,13470.9,1.64482,1.21882,0.96934,0.65082,0.53462,0.56398,0.39435,1.60098,1.19718,0.96406,0.000382318,0.000382318,0.000382318
55,13785.9,1.63437,1.20421,0.96627,0.67133,0.54016,0.58204,0.40566,1.5793,1.1568,0.96056,0.000378437,0.000378437,0.000378437
56,13998.7,1.63405,1.20008,0.96167,0.66724,0.55207,0.59306,0.41785,1.5553,1.14697,0.95581,0.000374556,0.000374556,0.000374556
57,14213.9,1.60233,1.18037,0.97004,0.68314,0.56118,0.59273,0.40838,1.57712,1.15683,0.95881,0.000370675,0.000370675,0.000370675
58,14472.5,1.65787,1.21478,0.96265,0.72545,0.52232,0.58474,0.40485,1.58623,1.16459,0.9645,0.000366794,0.000366794,0.000366794
59,14724.7,1.60366,1.16775,0.95996,0.71585,0.5501,0.60143,0.41843,1.56094,1.11732,0.95865,0.000362914,0.000362914,0.000362914
60,14985,1.62848,1.17725,0.96537,0.6607,0.55911,0.59811,0.42211,1.55778,1.13155,0.95834,0.000359033,0.000359033,0.000359033
61,15179,1.63185,1.17121,0.96619,0.68476,0.5771,0.60845,0.42192,1.55788,1.11094,0.95684,0.000355152,0.000355152,0.000355152
62,15395.7,1.61194,1.14882,0.96169,0.70759,0.57829,0.62193,0.43437,1.54019,1.12345,0.95072,0.000351271,0.000351271,0.000351271
63,15604.7,1.61582,1.17268,0.96445,0.68664,0.56949,0.61496,0.43477,1.54199,1.15435,0.95524,0.00034739,0.00034739,0.00034739
64,15962.5,1.65553,1.16883,0.9607,0.69709,0.58122,0.62096,0.42424,1.5689,1.12142,0.95536,0.00034351,0.00034351,0.00034351
65,16169.2,1.63283,1.15539,0.96411,0.72329,0.56601,0.63839,0.45177,1.54243,1.08913,0.95343,0.000339629,0.000339629,0.000339629
66,16403.1,1.59522,1.12232,0.9576,0.69067,0.59175,0.62642,0.43993,1.5544,1.09789,0.95481,0.000335748,0.000335748,0.000335748
67,16661.8,1.61537,1.14771,0.95714,0.74966,0.56126,0.63523,0.44564,1.54626,1.11573,0.95419,0.000331867,0.000331867,0.000331867
68,16885.4,1.59323,1.11572,0.95484,0.69558,0.59726,0.64036,0.45201,1.52902,1.09072,0.95037,0.000327986,0.000327986,0.000327986
69,17101.8,1.58505,1.11857,0.95276,0.75037,0.58984,0.65252,0.46223,1.51752,1.07093,0.94799,0.000324106,0.000324106,0.000324106
70,17320.2,1.59927,1.12393,0.95252,0.72056,0.58699,0.64738,0.44273,1.55961,1.10648,0.95825,0.000320225,0.000320225,0.000320225
71,17562.5,1.58733,1.12235,0.95345,0.70678,0.59963,0.65531,0.46131,1.53641,1.07863,0.95415,0.000316344,0.000316344,0.000316344
72,17772.4,1.57364,1.10263,0.94931,0.71409,0.60874,0.65847,0.45542,1.52741,1.06073,0.94977,0.000312463,0.000312463,0.000312463
73,18002.7,1.56463,1.08944,0.95435,0.72831,0.59941,0.65016,0.45657,1.52317,1.07765,0.94991,0.000308582,0.000308582,0.000308582
74,18219.4,1.58029,1.09534,0.95549,0.73324,0.61649,0.6664,0.46452,1.53202,1.0617,0.94834,0.000304702,0.000304702,0.000304702
75,18436.9,1.57137,1.08877,0.9529,0.75319,0.6077,0.6606,0.46772,1.53555,1.06376,0.94904,0.000300821,0.000300821,0.000300821
76,18662.1,1.57084,1.08349,0.94629,0.7335,0.60752,0.66101,0.46741,1.52545,1.0545,0.94997,0.00029694,0.00029694,0.00029694
77,18877.1,1.57398,1.08935,0.95448,0.73638,0.62386,0.66515,0.46818,1.52147,1.05698,0.94969,0.000293059,0.000293059,0.000293059
78,19092,1.57272,1.08295,0.95248,0.71986,0.62042,0.65927,0.46105,1.53394,1.05818,0.95121,0.000289178,0.000289178,0.000289178
79,19311.3,1.55092,1.0704,0.94474,0.72795,0.60548,0.66902,0.46942,1.53003,1.06837,0.94934,0.000285298,0.000285298,0.000285298
80,19510.4,1.56774,1.07555,0.9447,0.76219,0.57997,0.67051,0.47984,1.50121,1.04186,0.94312,0.000281417,0.000281417,0.000281417
81,19834.6,1.5693,1.08388,0.94412,0.76023,0.6204,0.68851,0.4892,1.49756,1.03228,0.94487,0.000277536,0.000277536,0.000277536
82,20030.7,1.56176,1.08348,0.951,0.66608,0.63096,0.65823,0.46067,1.52431,1.0686,0.94846,0.000273655,0.000273655,0.000273655
83,20401.4,1.55235,1.06306,0.9441,0.71732,0.64285,0.67735,0.48836,1.49103,1.02689,0.94341,0.000269774,0.000269774,0.000269774
84,20636,1.56135,1.06998,0.94723,0.76603,0.61326,0.68432,0.48627,1.49049,1.0241,0.94201,0.000265894,0.000265894,0.000265894
85,20831.1,1.55717,1.07625,0.94829,0.76556,0.6218,0.68049,0.48657,1.49091,1.02625,0.94108,0.000262013,0.000262013,0.000262013
86,21068.9,1.53716,1.03466,0.9489,0.75503,0.62853,0.68176,0.48495,1.48988,1.01261,0.94184,0.000258132,0.000258132,0.000258132
87,21252.4,1.5526,1.05721,0.94109,0.78825,0.61033,0.6893,0.47739,1.54604,1.02853,0.94672,0.000254251,0.000254251,0.000254251
88,21489.2,1.56208,1.05441,0.94487,0.76727,0.62831,0.69047,0.49115,1.48227,1.01372,0.94107,0.00025037,0.00025037,0.00025037
89,21751.7,1.56705,1.04222,0.94114,0.76866,0.63266,0.69735,0.49426,1.49229,1.01197,0.94205,0.00024649,0.00024649,0.00024649
90,21988.6,1.54982,1.05042,0.9417,0.74465,0.64679,0.69961,0.49809,1.49857,1.01498,0.94086,0.000242609,0.000242609,0.000242609
91,22258.6,1.56066,1.04539,0.94402,0.76199,0.62749,0.68469,0.48768,1.48521,1.01321,0.9402,0.000238728,0.000238728,0.000238728
92,22472.7,1.5183,1.02337,0.93927,0.76389,0.62306,0.6952,0.49937,1.4944,1.00436,0.93981,0.000234847,0.000234847,0.000234847
93,22689.5,1.53288,1.02274,0.94107,0.79315,0.63449,0.70047,0.5061,1.47272,0.98567,0.93749,0.000230966,0.000230966,0.000230966
94,22887.4,1.54084,1.03533,0.94374,0.75433,0.63982,0.69441,0.49875,1.48563,0.99754,0.94134,0.000227086,0.000227086,0.000227086
95,23207.5,1.54761,1.02754,0.9414,0.79689,0.63354,0.70104,0.49484,1.48165,0.99282,0.93917,0.000223205,0.000223205,0.000223205
96,23417.4,1.52422,1.02191,0.93347,0.77448,0.64792,0.7064,0.50738,1.47161,0.98207,0.93702,0.000219324,0.000219324,0.000219324
97,23644.6,1.53122,1.02618,0.93875,0.79067,0.64657,0.70758,0.5075,1.47806,0.98976,0.94012,0.000215443,0.000215443,0.000215443
98,23879.6,1.51018,1.00523,0.93352,0.767,0.65251,0.69741,0.49919,1.47842,0.97866,0.93689,0.000211562,0.000211562,0.000211562
99,24095.4,1.54732,1.02716,0.93067,0.79221,0.64553,0.71235,0.51163,1.46174,0.97927,0.93405,0.000207682,0.000207682,0.000207682
100,24324.5,1.53082,1.01159,0.9334,0.77725,0.65162,0.71152,0.51179,1.47061,0.97822,0.93804,0.000203801,0.000203801,0.000203801
101,24572.9,1.50998,1.00715,0.93536,0.81975,0.63529,0.71025,0.51187,1.47029,0.96891,0.93682,0.00019992,0.00019992,0.00019992
102,24821.6,1.51373,1.00222,0.9355,0.80712,0.63928,0.71332,0.51427,1.45094,0.9686,0.93367,0.000196039,0.000196039,0.000196039
103,25105.3,1.52094,1.01247,0.93421,0.76806,0.66344,0.71525,0.51166,1.46569,0.97224,0.93627,0.000192158,0.000192158,0.000192158
104,25296,1.52288,1.0063,0.93588,0.77424,0.66726,0.72089,0.51686,1.45731,0.962,0.93385,0.000188278,0.000188278,0.000188278
105,25504,1.52856,1.00781,0.93512,0.78761,0.6646,0.72316,0.51201,1.47305,0.95855,0.9375,0.000184397,0.000184397,0.000184397
106,25713.3,1.4931,0.98385,0.9299,0.77628,0.66325,0.71791,0.51498,1.47385,0.97172,0.9372,0.000180516,0.000180516,0.000180516
107,26002.1,1.51479,0.99919,0.93868,0.80132,0.65481,0.71923,0.51366,1.4527,0.95199,0.93382,0.000176635,0.000176635,0.000176635
108,26208.9,1.49295,0.99089,0.92772,0.79989,0.66005,0.72143,0.519,1.45845,0.95904,0.93227,0.000172754,0.000172754,0.000172754
109,26434.8,1.49812,0.98071,0.9324,0.79592,0.66036,0.72193,0.51756,1.4616,0.95851,0.93526,0.000168874,0.000168874,0.000168874
110,26756.2,1.50477,0.98398,0.93382,0.81794,0.65944,0.71815,0.51602,1.46536,0.95826,0.93446,0.000164993,0.000164993,0.000164993
111,27064.9,1.48737,0.98015,0.93142,0.81191,0.65669,0.7226,0.51698,1.46112,0.95619,0.93446,0.000161112,0.000161112,0.000161112
112,27300.6,1.47756,0.96557,0.92358,0.78592,0.66081,0.72061,0.5196,1.45129,0.94933,0.93321,0.000157231,0.000157231,0.000157231
113,27501,1.49512,0.98795,0.92575,0.80204,0.6642,0.72539,0.51884,1.45972,0.95647,0.93512,0.00015335,0.00015335,0.00015335
114,27704.4,1.49854,0.98416,0.92811,0.82033,0.65171,0.72487,0.52331,1.4542,0.94762,0.93335,0.00014947,0.00014947,0.00014947
115,27992.7,1.49728,0.97908,0.92746,0.82706,0.65565,0.72724,0.51887,1.46342,0.94739,0.93345,0.000145589,0.000145589,0.000145589
116,28192.8,1.49537,0.97693,0.93137,0.79375,0.66558,0.72215,0.51994,1.45323,0.94814,0.93131,0.000141708,0.000141708,0.000141708
117,28483,1.51023,0.98582,0.93082,0.79622,0.66484,0.72209,0.5174,1.45809,0.94569,0.93343,0.000137827,0.000137827,0.000137827
118,28720.6,1.4719,0.96243,0.92359,0.82525,0.66477,0.73198,0.52599,1.44247,0.93284,0.9309,0.000133946,0.000133946,0.000133946
119,28910.5,1.47478,0.95375,0.92706,0.80359,0.66649,0.72904,0.52597,1.44591,0.93857,0.93166,0.000130066,0.000130066,0.000130066
120,29113.3,1.47918,0.96846,0.92813,0.80692,0.66497,0.73077,0.52453,1.45424,0.92814,0.93259,0.000126185,0.000126185,0.000126185
121,29346,1.47708,0.95901,0.9286,0.8069,0.67393,0.72906,0.5305,1.43823,0.93464,0.93032,0.000122304,0.000122304,0.000122304
122,29548,1.46939,0.94385,0.92658,0.78366,0.67314,0.72854,0.52586,1.44203,0.93533,0.93086,0.000118423,0.000118423,0.000118423
123,29723.3,1.46723,0.94685,0.92368,0.83267,0.65421,0.73338,0.53181,1.44398,0.93619,0.93097,0.000114542,0.000114542,0.000114542
124,30065,1.47969,0.96125,0.92125,0.82277,0.66267,0.73313,0.52755,1.43928,0.92233,0.92981,0.000110662,0.000110662,0.000110662
125,30275.6,1.46249,0.94969,0.92078,0.81623,0.665,0.73346,0.53059,1.43976,0.92416,0.9287,0.000106781,0.000106781,0.000106781
126,30590.6,1.48643,0.96398,0.92296,0.851,0.65494,0.73147,0.53067,1.4252,0.92563,0.92675,0.0001029,0.0001029,0.0001029
